title,url
Pride and Prejudice by Jane Austen (55220),https://www.gutenberg.org/files/1342/1342-h/1342-h.htm
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley (35359)",https://www.gutenberg.org/files/84/84-h/84-h.htm
The Adventures of Sherlock Holmes by Arthur Conan Doyle (28620),https://www.gutenberg.org/files/1661/1661-h/1661-h.htm
Alice's Adventures in Wonderland by Lewis Carroll (26882),https://www.gutenberg.org/files/11/11-h/11-h.htm
Robert's Rules of Order by Henry M.  Robert (21315),https://www.gutenberg.org/files/9097/9097-h/9097-h.htm
The Yellow Wallpaper by Charlotte Perkins Gilman (21186),https://www.gutenberg.org/files/1952/1952-h/1952-h.htm
Dracula by Bram Stoker (19564),https://www.gutenberg.org/files/345/345-h/345-h.htm
"Moby Dick; Or, The Whale by Herman Melville (18914)",https://www.gutenberg.org/files/2701/2701-h/2701-h.htm
The Picture of Dorian Gray by Oscar Wilde (18030),https://www.gutenberg.org/files/174/174-h/174-h.htm
A Tale of Two Cities by Charles Dickens (17544),https://www.gutenberg.org/files/98/98-h/98-h.htm
Beowulf: An Anglo-Saxon Epic Poem (17184),https://www.gutenberg.org/files/16328/16328-h/16328-h.htm
The Great Gatsby by F. Scott  Fitzgerald (15483),https://www.gutenberg.org/files/64317/64317-h/64317-h.htm
A Modest Proposal by Jonathan Swift (14838),https://www.gutenberg.org/files/1080/1080-h/1080-h.htm
The Scarlet Letter by Nathaniel Hawthorne (14810),https://www.gutenberg.org/files/25344/25344-h/25344-h.htm
The Iliad by Homer (14531),https://www.gutenberg.org/files/6130/6130-h/6130-h.htm
Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm (14524),https://www.gutenberg.org/files/2591/2591-h/2591-h.htm
The Prince by Niccolò Machiavelli (14124),https://www.gutenberg.org/files/1232/1232-h/1232-h.htm
Metamorphosis by Franz Kafka (14024),https://www.gutenberg.org/files/5200/5200-h/5200-h.htm
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (13551),https://www.gutenberg.org/files/43/43-h/43-h.htm
Ulysses by James Joyce (12898),https://www.gutenberg.org/files/4300/4300-h/4300-h.htm
Crime and Punishment by Fyodor Dostoyevsky (12589),https://www.gutenberg.org/files/2554/2554-h/2554-h.htm
A Doll's House : a play by Henrik Ibsen (12274),https://www.gutenberg.org/files/2542/2542-h/2542-h.htm
"The Count of Monte Cristo, Illustrated by Alexandre Dumas (12221)",https://www.gutenberg.org/files/1184/1184-h/1184-h.htm
Great Expectations by Charles Dickens (12042),https://www.gutenberg.org/files/1400/1400-h/1400-h.htm
War and Peace by graf Leo Tolstoy (12030),https://www.gutenberg.org/files/2600/2600-h/2600-h.htm
Jane Eyre: An Autobiography by Charlotte Brontë (11946),https://www.gutenberg.org/files/1260/1260-h/1260-h.htm
The Republic by Plato (11713),https://www.gutenberg.org/files/1497/1497-h/1497-h.htm
"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau (11371)",https://www.gutenberg.org/files/205/205-h/205-h.htm
