title,url
"Index for the Project Gutenberg Series ""American Pioneers and Patriots""",https://www.gutenberg.org/ebooks/57588
"Seven Wives and Seven Prisons
Or, Experiences in the Life of a Matrimonial Monomaniac. A True Story",https://www.gutenberg.org/ebooks/4667
"Autobiography of Frank G. Allen, Minister of the Gospel
and Selections from his Writings",https://www.gutenberg.org/ebooks/25941
Biographies of Working Men,https://www.gutenberg.org/ebooks/4529
Biographical Outlines: British History,https://www.gutenberg.org/ebooks/42120
"Portraits of Curious Characters in London, &c. &c.
With Descriptive and Entertaining Ancedotes.",https://www.gutenberg.org/ebooks/45314
"The Life of That Wonderful and Extraordinarily Heavy Man, Daniel Lambert
From His Birth to the Moment of His Dissolution; With an Account of Men Noted for Their Corpulency, and Other Interesting Matter",https://www.gutenberg.org/ebooks/67328
"Sketch of Handel and Beethoven
Two Lectures, Delivered in the Lecture Hall of the Wimbledon Village Club, on Monday Evening, Dec. 14, 1863; and Monday Evening, Jan. 11, 1864",https://www.gutenberg.org/ebooks/27502
Marie Bashkirtseff (From Childhood to Girlhood),https://www.gutenberg.org/ebooks/13916
A Mind That Found Itself: An Autobiography,https://www.gutenberg.org/ebooks/11962
"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude",https://www.gutenberg.org/ebooks/24739
Modern English Biography (volume 1 of 4) A-H,https://www.gutenberg.org/ebooks/55059
Famous leaders among men,https://www.gutenberg.org/ebooks/57666
"Boswell's Life of Johnson
Abridged and edited, with an introduction by Charles Grosvenor Osgood",https://www.gutenberg.org/ebooks/1564
"Mary Boyle, Her Book",https://www.gutenberg.org/ebooks/63748
A Memorial of Mrs. Margaret Breckinridge,https://www.gutenberg.org/ebooks/45317
Historic Girls: Stories Of Girls Who Have Influenced The History Of Their Times,https://www.gutenberg.org/ebooks/1574
Hero Tales from History,https://www.gutenberg.org/ebooks/49356
Life of John Sterling,https://www.gutenberg.org/ebooks/1085
James Watt,https://www.gutenberg.org/ebooks/26131
Twelve Types,https://www.gutenberg.org/ebooks/12491
"An Apology for the Life of Mr. Colley Cibber, Volume 1 (of 2)
Written by Himself. A New Edition with Notes and Supplement",https://www.gutenberg.org/ebooks/44064
Old Friends at Cambridge and Elsewhere,https://www.gutenberg.org/ebooks/52846
